Sr. No.,Name,Contact Number,Personal Email Address,Gender,Date of Birth,Address,Salary,Blood Group,Country,Saudi Arabia National ID Number,Bank Account Number,Passport Number
29,Saad AlJaber,+966 501900854,SaadAlJaber@yahoo.com,Male,11/23/1984,"Murabba,Riyadh,Saudi Arabia","SAR 15,620.40",AB+,Saudi Arabia,3663871779,SA1234567910123456791031,JB8369882
30,Majed Almuzayen,+966 538997305,MajedAlmuzayen@rediffmail.com,Male,11/24/1991,"P.O.Box No : 18118 Jeddah 21415,Jeddah,Saudi Arabia","SAR 17,241.90",B+,Saudi Arabia,8055675043,SA1234567911123456791132,JC8369883
31,Amira AlAbbas,+966 536690855,AmiraAlAbbas@rediffmail.com,Female,11/12/1983,"Deerah,Riyadh,Saudi Arabia","SAR 17,794.10",O+,Saudi Arabia,3387282017,SA1234567912123456791233,KA8369884
32,Jumana AlThani,+966 555154906,JumanaAlThani@rediffmail.com,Female,6/26/1980,"P.O. Box: 132618,Jeddah,Saudi Arabia","SAR 14,677.10",A+,Saudi Arabia,6722838622,SA1234567913123456791334,KB8369885
33,Ghada AlQurashi,+966 519097756,GhadaAlQurashi@rediffmail.com,Female,10/13/1985,"P.O. Box: 4834,Jeddah,Saudi Arabia","SAR 16,132.50",A+,Saudi Arabia,8491467157,SA1234567914123456791435,KC8369886
34,Jawaher AlMasoud,+966 586559107,JawaherAlMasoud@rediffmail.com,Female,6/6/1980,"Old Industrial87,Riyadh,Saudi Arabia","SAR 18,284.60",B+,Saudi Arabia,4316654070,SA1234567915123456791536,LA8369887
35,Layla Abdulaziz,+966 568382157,LaylaAbdulaziz@rediffmail.com,Female,11/10/1985,"P.O. Box: 9057,Jeddah,Saudi Arabia","SAR 16,657.60",AB+,Saudi Arabia,2195144214,SA1234567916123456791637,LB8369888
36,Layan AlSaud,+966 512337908,LayanAlSaud@rediffmail.com,Female,4/20/1980,"P.O. Box: 84261,Riyadh,Saudi Arabia","SAR 13,108.30",A-,Saudi Arabia,5540185234,SA1234567917123456791738,LC8369889
37,Layla AlYousef,+966 504400158,LaylaAlYousef@rediffmail.com,Female,1/3/1992,"2nd Industrial City Makkah Street,Dammam,Saudi Arabia","SAR 18,907.00",O-,Saudi Arabia,4422156357,SA1234567918123456791839,MA8369890
38,Maha AlSalim,+966 554635709,MahaAlSalim@rediffmail.com,Female,9/3/1987,"Sharafiyah Dist.15607,Jeddah,Saudi Arabia","SAR 16,791.90",A-,Saudi Arabia,2847686123,SA1234567919123456791940,MB8369891
39,Rania AlKhalaf,+966 594475400,RaniaAlKhalaf@rediffmail.com,Female,9/23/1981,"P.O.Box No : 4 Jeddah 21411,Jeddah,Saudi Arabia","SAR 17,060.00",O+,Saudi Arabia,1457561507,SA1234567920123456792041,MC8369892
40,Nora AlShamari,+966 592692159,NoraAlShamari@rediffmail.com,Female,9/18/1984,"Mujammah,Dammam,Saudi Arabia","SAR 15,083.00",AB-,Saudi Arabia,9193965534,SA1234567921123456792142,NA8369893
41,Nadia AlRiyashi,+966 586683150,NadiaAlRiyashi@rediffmail.com,Female,4/23/1983,"P.O. Box: 5700,Jeddah,Saudi Arabia","SAR 19,246.70",O+,Saudi Arabia,2507115165,SA1234567922123456792243,NB8369894
42,Nada AlHajj,+966 563430401,NadaAlHajj@rediffmail.com,Female,4/19/1987,"P.O. Box: 257,Dammam,Saudi Arabia","SAR 19,708.00",A+,Saudi Arabia,3845092165,SA1234567923123456792344,NC8369895
43,Yara AlGhurair,+966 547028551,YaraAlGhurair@rediffmail.com,Female,12/28/1986,"P.O. Box: 9,Al Khobar,Saudi Arabia","SAR 18,639.20",B+,Saudi Arabia,7081814859,SA1234567924123456792445,OA8369896
44,Fatima AlRiyami,+966 500367202,FatimaAlRiyami@rediffmail.com,Female,10/22/1980,"Mujammah,Dammam,Saudi Arabia","SAR 13,535.90",O-,Saudi Arabia,6248377147,SA1234567925123456792546,OB8369897
45,Dalal AlDossari,+966 506348752,DalalAlDossari@rediffmail.com,Female,4/18/1980,"P.O. Box: 4835,Jeddah,Saudi Arabia","SAR 15,308.80",A-,Saudi Arabia,5753338795,SA1234567926123456792647,OC8369898
46,Nadia AlHussein,+966 516870103,NadiaAlHussein@gmail.com,Female,9/8/1985,"Misfah Dist.,Riyadh,Saudi Arabia","SAR 15,867.30",O+,Saudi Arabia,9191103103,SA1234567927123456792748,PA8369899
47,Lujain AlMansour,+966 539201553,LujainAlMansour@yahoo.com,Female,10/29/1980,"P.O. Box: 13168,Jeddah,Saudi Arabia","SAR 10,275.90",AB+,Saudi Arabia,2281974351,SA1234567928123456792849,PB8369900
48,Noor AlMahmoud,+966 546165104,NoorAlMahmoud@gmail.com,Female,8/27/1992,"P.O. Box: 1692,Jeddah,Saudi Arabia","SAR 14,764.90",O+,Saudi Arabia,6401618218,SA1234567929123456792950,PC8369901
49,Reem AlSulaiman,+966 583386854,ReemAlSulaiman@yahoo.com,Female,9/17/1988,"Khobar,Dammam,Saudi Arabia","SAR 13,648.80",A+,Saudi Arabia,3738177479,SA1234567930123456793051,QA8369902
50,Samar AlRashid,+966 564307805,SamarAlRashid@rediffmail.com,Female,9/10/1985,"P.O.Box No : 17353 Jeddah 21484,Jeddah,Saudi Arabia","SAR 13,629.50",B+,Saudi Arabia,6027313182,SA1234567931123456793152,QB8369903
,,,,,,,,,,,,
